,date,open,high,low,close,volume
549,20181011,44000,44650,43100,43100,19324537
550,20181010,45250,45500,44500,45300,10341349
551,20181008,44200,45200,44200,44950,6759464
552,20181005,44800,45500,44550,44700,10544165
553,20181004,45150,45600,44700,44700,11865327
554,20181002,46450,46700,45700,45700,6607188
555,20181001,46450,46800,45800,46350,6354983
556,20180928,47250,47250,46300,46450,11270515
557,20180927,46950,47500,46450,47500,15804586
558,20180921,46550,47550,46550,47400,14476906
559,20180920,46850,47600,46400,47250,13536966
560,20180919,46000,46200,45700,46150,9367454
561,20180918,44950,45900,44700,45500,9987090
562,20180917,45550,45800,44900,45150,8123384
563,20180914,45000,45850,44900,45850,12446344
564,20180913,44550,44750,44000,44050,18277942
565,20180912,44900,45100,44500,44550,12995269
566,20180911,45550,45900,45050,45050,9865790
567,20180910,45450,45550,45000,45500,9979838
568,20180907,44500,45200,44400,44900,18285508
569,20180906,46200,46400,45800,46100,9040553
570,20180905,47300,47450,46400,46600,9139998
571,20180904,47550,47800,47200,47650,6791255
572,20180903,48200,48300,47300,47450,8595084
573,20180831,47100,48450,47000,48450,13577454
574,20180830,46950,47950,46700,47650,12193231
575,20180829,46750,46800,46400,46800,5572374
576,20180828,46800,46950,46300,46550,7365976
577,20180827,46100,46550,46000,46300,5263782
578,20180824,45900,46400,45550,46150,6582535
579,20180823,46150,46200,45700,46200,6730918
580,20180822,45150,46200,44900,46100,11641656
581,20180821,43700,44900,43700,44800,9520270
582,20180820,43500,44200,43500,43850,7289124
583,20180817,44050,44400,44050,44100,6808747
584,20180816,43800,44650,43700,44250,10088229
585,20180814,44850,45400,44850,45150,6409259
586,20180813,44950,45100,44650,45050,9803831
587,20180810,46150,46400,44850,45400,16670643
588,20180809,47000,47050,46450,46900,12010886
589,20180808,47000,47000,46550,46800,6429338
590,20180807,46300,46750,45900,46700,9058174
591,20180806,46150,46150,45750,45800,6771979
592,20180803,45850,45900,45450,45750,8274944
593,20180802,46550,46800,45500,45550,8560924
594,20180801,46050,46850,46050,46550,7484499
595,20180731,46200,46450,46000,46250,8033607
596,20180730,46550,46800,46350,46500,5723035
597,20180727,46450,47000,46450,46900,4762460
598,20180726,46100,47000,46000,46900,7374946
599,20180725,46250,46550,45900,46150,7222471
600,20180724,46350,46600,45950,46150,8261363
601,20180723,47100,47200,46150,46500,10823782
602,20180720,47000,47600,46700,47450,10474547
603,20180719,47050,47200,46600,46900,9880128
604,20180718,46700,47200,46450,46550,10952645
605,20180717,46150,46200,45600,45850,8892953
606,20180716,46800,46800,46000,46050,7678719
607,20180713,45800,46500,45750,46500,11543389
