[005930] RL:dqn Net:dnn LR:0.001 DF:0.9 TU:[1,1]
[005930][Epoch 067/100] Epsilon:0.1111 #Expl.:58/618 #Buy:21 #Sell:13 #Hold:584 #Stocks:8 PV:20,461,610 Loss:0.381988 ET:0.3730
[005930][Epoch 068/100] Epsilon:0.1045 #Expl.:61/618 #Buy:38 #Sell:30 #Hold:550 #Stocks:8 PV:20,489,093 Loss:0.353738 ET:0.3817
[005930][Epoch 069/100] Epsilon:0.0981 #Expl.:69/618 #Buy:33 #Sell:26 #Hold:559 #Stocks:7 PV:18,676,437 Loss:0.351091 ET:0.3788
[005930][Epoch 070/100] Epsilon:0.0918 #Expl.:52/618 #Buy:24 #Sell:17 #Hold:577 #Stocks:7 PV:18,981,582 Loss:0.325938 ET:0.3775
[005930][Epoch 071/100] Epsilon:0.0858 #Expl.:54/618 #Buy:24 #Sell:17 #Hold:577 #Stocks:7 PV:20,043,903 Loss:0.341444 ET:0.3807
[005930][Epoch 072/100] Epsilon:0.0800 #Expl.:42/618 #Buy:15 #Sell:7 #Hold:596 #Stocks:8 PV:20,396,881 Loss:0.276666 ET:0.3742
[005930][Epoch 073/100] Epsilon:0.0744 #Expl.:57/618 #Buy:26 #Sell:19 #Hold:573 #Stocks:7 PV:19,817,729 Loss:0.257634 ET:0.3752
[005930][Epoch 074/100] Epsilon:0.0690 #Expl.:42/618 #Buy:21 #Sell:14 #Hold:583 #Stocks:7 PV:18,991,356 Loss:0.233503 ET:0.3643
[005930][Epoch 075/100] Epsilon:0.0638 #Expl.:37/618 #Buy:29 #Sell:24 #Hold:565 #Stocks:5 PV:19,887,539 Loss:3.195183 ET:0.4484
[005930][Epoch 076/100] Epsilon:0.0588 #Expl.:41/618 #Buy:73 #Sell:68 #Hold:477 #Stocks:5 PV:20,298,928 Loss:0.265560 ET:0.3720
[005930][Epoch 077/100] Epsilon:0.0540 #Expl.:27/618 #Buy:28 #Sell:23 #Hold:567 #Stocks:5 PV:20,259,711 Loss:0.216864 ET:0.3764
[005930][Epoch 078/100] Epsilon:0.0494 #Expl.:23/618 #Buy:16 #Sell:8 #Hold:594 #Stocks:8 PV:20,414,943 Loss:0.188791 ET:0.3753
[005930][Epoch 079/100] Epsilon:0.0450 #Expl.:22/618 #Buy:12 #Sell:4 #Hold:602 #Stocks:8 PV:20,418,355 Loss:0.176934 ET:0.3731
[005930][Epoch 080/100] Epsilon:0.0408 #Expl.:25/618 #Buy:16 #Sell:9 #Hold:593 #Stocks:7 PV:18,853,566 Loss:0.204926 ET:0.3739
[005930][Epoch 081/100] Epsilon:0.0368 #Expl.:15/618 #Buy:13 #Sell:5 #Hold:600 #Stocks:8 PV:20,412,294 Loss:0.192435 ET:0.3802
[005930][Epoch 082/100] Epsilon:0.0331 #Expl.:22/618 #Buy:16 #Sell:8 #Hold:594 #Stocks:8 PV:20,453,863 Loss:0.198322 ET:0.3713
[005930][Epoch 083/100] Epsilon:0.0295 #Expl.:14/618 #Buy:11 #Sell:4 #Hold:603 #Stocks:7 PV:19,249,331 Loss:0.191837 ET:0.3756
[005930][Epoch 084/100] Epsilon:0.0261 #Expl.:29/618 #Buy:13 #Sell:6 #Hold:599 #Stocks:7 PV:18,851,441 Loss:0.208724 ET:0.3693
[005930][Epoch 085/100] Epsilon:0.0230 #Expl.:13/618 #Buy:16 #Sell:8 #Hold:594 #Stocks:8 PV:20,521,416 Loss:0.232302 ET:0.3713
[005930][Epoch 086/100] Epsilon:0.0200 #Expl.:5/618 #Buy:9 #Sell:2 #Hold:607 #Stocks:7 PV:19,063,949 Loss:0.226954 ET:0.3754
[005930][Epoch 087/100] Epsilon:0.0172 #Expl.:11/618 #Buy:9 #Sell:2 #Hold:607 #Stocks:7 PV:19,872,799 Loss:0.217993 ET:0.3767
[005930][Epoch 088/100] Epsilon:0.0147 #Expl.:7/618 #Buy:10 #Sell:2 #Hold:606 #Stocks:8 PV:20,390,540 Loss:0.199486 ET:0.3729
[005930][Epoch 089/100] Epsilon:0.0123 #Expl.:8/618 #Buy:11 #Sell:3 #Hold:604 #Stocks:8 PV:20,391,680 Loss:0.255214 ET:0.3719
[005930][Epoch 090/100] Epsilon:0.0102 #Expl.:4/618 #Buy:8 #Sell:0 #Hold:610 #Stocks:8 PV:20,384,500 Loss:0.266655 ET:0.3732
[005930][Epoch 091/100] Epsilon:0.0083 #Expl.:7/618 #Buy:9 #Sell:1 #Hold:608 #Stocks:8 PV:20,401,606 Loss:0.260998 ET:0.3764
[005930][Epoch 092/100] Epsilon:0.0065 #Expl.:1/618 #Buy:8 #Sell:0 #Hold:610 #Stocks:8 PV:20,384,500 Loss:0.260999 ET:0.3718
[005930][Epoch 093/100] Epsilon:0.0050 #Expl.:2/618 #Buy:8 #Sell:0 #Hold:610 #Stocks:8 PV:20,384,500 Loss:0.285565 ET:0.3770
[005930][Epoch 094/100] Epsilon:0.0037 #Expl.:3/618 #Buy:9 #Sell:1 #Hold:608 #Stocks:8 PV:20,391,865 Loss:0.290063 ET:0.3778
[005930][Epoch 095/100] Epsilon:0.0026 #Expl.:2/618 #Buy:8 #Sell:0 #Hold:610 #Stocks:8 PV:20,384,500 Loss:0.293473 ET:0.3814
[005930][Epoch 096/100] Epsilon:0.0016 #Expl.:0/618 #Buy:8 #Sell:0 #Hold:610 #Stocks:8 PV:20,384,500 Loss:0.283932 ET:0.3688
[005930][Epoch 097/100] Epsilon:0.0009 #Expl.:0/618 #Buy:8 #Sell:0 #Hold:610 #Stocks:8 PV:20,384,500 Loss:0.292832 ET:0.3732
[005930][Epoch 098/100] Epsilon:0.0004 #Expl.:0/618 #Buy:8 #Sell:0 #Hold:610 #Stocks:8 PV:20,384,500 Loss:0.280399 ET:0.3663
[005930][Epoch 099/100] Epsilon:0.0001 #Expl.:0/618 #Buy:8 #Sell:0 #Hold:610 #Stocks:8 PV:20,384,500 Loss:0.219737 ET:0.3722
[005930][Epoch 100/100] Epsilon:0.0000 #Expl.:0/618 #Buy:8 #Sell:0 #Hold:610 #Stocks:8 PV:20,384,500 Loss:0.215831 ET:0.3715
[005930] Elapsed Time:56.3368 Max PV:20,764,518 #Win:96
